sprint_id	title	status	created_at	updated_at
001	UnifiedLlm Spec Conformance	completed	2026-02-24T21:53:15.836370	2026-02-24T22:48:46.991086
002	002: Coding Agent Loop Spec Conformance	completed	2026-02-24T22:48:40.219099	2026-02-24T23:44:41.587189
003	003: Attractor Spec Conformance	completed	2026-02-24T22:48:40.219187	2026-02-25T00:39:53.494028
004	004: Cross-Spec Gap Closure	completed	2026-02-25T10:10:58.506026	2026-02-25T11:01:57.655963
005	005: Test Coverage Hardening	completed	2026-02-25T20:17:37.834733	2026-02-25T23:25:04.782578
006	006: Spec Sync (fb57a55)	completed	2026-03-20T10:52:38.259921	2026-03-20T11:21:37.755543
007	007: UnifiedLlm Hardening + Context Fidelity	completed	2026-03-23T20:00:00.000000	2026-03-23T21:47:35.512077
008	008: MCP Client	completed	2026-03-23T20:00:00.000000	2026-03-23T22:31:09.162703
009	009: ACP Runtime	completed	2026-03-23T20:00:00.000000	2026-03-24T00:23:51.490164
010	010: Production Hardening	completed	2026-03-24T09:46:43.707423	2026-03-24T17:20:00.000000
011	011: Test Coverage Hardening II	completed	2026-03-24T18:00:00.000000	2026-03-24T14:24:04.911953
013	Attribute Validation & Schema Completeness	completed	2026-03-26T10:55:24.540914	2026-03-26T10:55:24.622627
014	Loop-Aware Pipeline Validation & External-Shim Recovery	completed	2026-04-24T08:35:51.192471	2026-04-24T11:10:04.697220
015	Loop-Aware Engine Primitives & First-Class Shim CLI	completed	2026-04-24T11:11:06.942659	2026-04-24T12:00:08.467253
